,price,numBathrooms,Status,house_size_SF,n_beds,BHK_RK,building_type
4411,235592,3,Unfurnished,2856,3,BHK,IndependentFloor
4412,549191,4,Unfurnished,6251,4,BHK,Villa
4413,546195,4,Unfurnished,5896,4,BHK,Villa
4414,401015,4,Unfurnished,5863,4,BHK,Villa
4415,301015,4,Unfurnished,5896,4,BHK,IndependentFloor
4416,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4417,235562,4,Unfurnished,6251,4,BHK,IndependentFloor
4418,235562,3,Unfurnished,2856,3,BHK,IndependentFloor
4419,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4420,235562,3,Unfurnished,2041,3,BHK,IndependentFloor
4421,301022,3,Unfurnished,2856,3,BHK,IndependentFloor
4422,235625,3,Unfurnished,2856,3,BHK,IndependentFloor
4423,235562,3,Unfurnished,2852,3,BHK,IndependentFloor
4424,235562,3,Unfurnished,2856,3,BHK,IndependentFloor
4425,235562,4,Unfurnished,6521,4,BHK,IndependentFloor
4426,235562,4,Unfurnished,5562,4,BHK,IndependentFloor
4427,301022,4,Unfurnished,5562,4,BHK,IndependentFloor
4428,235562,3,Unfurnished,3011,3,BHK,IndependentFloor
4429,235592,3,Unfurnished,2856,3,BHK,IndependentFloor
4430,235562,3,Unfurnished,2856,3,BHK,IndependentFloor
4431,546191,4,Unfurnished,5562,4,BHK,Villa
4432,1546195,4,Unfurnished,6521,5,BHK,Villa
4433,308212,4,Unfurnished,6521,5,BHK,IndependentFloor
4434,308212,4,Unfurnished,6521,5,BHK,IndependentFloor
4435,408214,4,Unfurnished,6521,5,BHK,IndependentFloor
4436,305212,5,Unfurnished,6251,5,BHK,IndependentFloor
4437,308521,3,Unfurnished,2852,3,BHK,IndependentFloor
4438,308521,3,Unfurnished,2852,3,BHK,IndependentFloor
4439,308521,3,Unfurnished,2852,3,BHK,IndependentFloor
4440,1219192,4,Unfurnished,6251,5,BHK,Villa
4441,1102020,4,Unfurnished,6251,5,BHK,IndependentHouse
